,people_served,elevation,cell,people_crossing_daily,injuries,deaths,near_city_centers,how_to_cross_river,len_impossible_dangerous_to_cross,time_to_nearest_safe_passage,hours_to_reach_hospital,hours_to_reach_medical_center,hours_to_reach_market,hours_to_reach_elementary,hours_to_reach_midlle_school,hours_to_reach_church,land_type_within_50m,soil_type,sand_availible,gravel_availible,stone_availible,timber_availible,stone_provided_by,sand_provided_by,gravel_provided_by,timber_provided_by,cement_provided_by,steel_provided_by,land_owner,ownership_permission,general_comments
0,6000-10000,1630m,Karambi-Gasumba,>600,many,2,-Karambi -Nyamagabe,now-Simple timber bridge,6-9 months,>3,0.5-1,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 70m.-The level difference between two banks is 0.06m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,3000-6000,2101m,Rugogwe,300-600,Many,No,-Kizimyamuriro,now-Simple timber bridge,3-6 months,2-3,>6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is hard rock for one side and silt for the other side.
0,500-1000,1522m,Gasave,50-150,Many,No,-Rwesero -Giti -Butare,now-Simple timber bridge,3-6 months,>3,2-6,,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,500-1000,1557m,Nyabinyenga,50-150,-No,No,-Cyabakamyi -Cyarwa,now-Walking through river,3-6 months,2-3,>6,1-2 hours,1-2 hours,0.5-1 hours,1-2 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 20m.-The level difference between two banks is 0.2m.-The space for foundation is sufficient -The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,3000-6000,2153m,Remera-Ruyenzi,150-300,Many,One,-Gisanze -Remera,now-Simple timber bridge,6-9 months,2-3,>6,2-6 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,sandy,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 30m.-The proposed bridge span is approximately 70m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion.-The soil from the site is silt for one side and hard rock for other side
0,1000-3000,1951m,Kabere-Nyabimata,150-300,Many,No,-Mpuza,now-Simple timber bridge,3-6 months,2-3,>6,0.5 hours,2-6 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 28m.-The level difference between two banks is 2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
0,500-1000,1591m,Yaramba,50-150,More,No,Yaramba,now-Simple timber bridge,1-3 months,1-2,>6,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 5m.-The proposed bridge span is approximately 40m.-The level difference between two banks is 0.02m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas.-The soil from the site is silt for both sides.
0,6000-10000,1773m,Ngarurira-Nyange,300-600,Many,2,-Ndago,now-Simple timber bridge,9-12 months,2-3,0.5-1,0.5 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 25m.-The proposed bridge span is approximately 100m.-The level difference between two banks is 1.2m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion.-The soil from the site is silt for both sides.
0,3000-6000,1676m,Muhambara-Nteko,300-600,-Many,Two,-Kubitiro -Rebero,now-Simple timber bridge,3-6 months,2-3,2-6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between elevated areas.-The soil from the site is silt for both sides.
0,3000-6000,1506m,Nyamirama,300-600,No,No,-Gihembe -Kabuga -Rwamiko,now-Simple timber bridge,1-3 months,>3,2-6,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 1m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between flat areas-The soil from the site is silt for both sides.
0,3000-6000,1961m,Cyanyirankora,300-600,-Many,No,-kaganza -Kajwanga,now-Simple timber bridge,3-6 months,2-3,>6,1-2 hours,0.5 hours,0.5 hours,0.5 hours,0.5 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 4m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between hills.-The soil from the site is hard rock for both sides.
0,1000-3000,1575m,Kubutare,50-150,No,No,-Gafunzo -Karambo,now-Simple timber bridge,3-6 months,<,2-6,,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Sector,Sector,District,District,Can not be provided at the time ,Can not be provided at the time ,Private,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 2m.-The proposed bridge span is approximately 55m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between a flat areas.-The soil from the site is silt for both sides.During sites visit done in December 2017 Gashogogo bridge changed the name to Gasyogogo 50m of span and also the GPS has changed to 2° 9' 41.4''S  29° 39' 56.2''E
0,3000-6000,1441m,Nkomane-Rwamambe,300-600,-Many,No,-Cyagara,now-Simple timber bridge,3-6 months,1-2,2-6,0.5-1 hours,0.5-1 hours,0.5 hours,0.5 hours,0.5 hours,bank-flat,Silt,Available,Not available on site,Available,Available,Cell,Sector,Sector,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 3m.-The proposed bridge span is approximately 28m.-The level difference between two banks is 0.01m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is not sufficient.-There is no confluence area near the place.-The river bed at the site is not stable  there is a possibility of erosion.-The river bank of the site is showing sign of erosion and it is located between two flat areas.-The soil from the site is silt soil for both sides. 2500 people and 1200 people from Mutego and Rutenderi villages respectively that use GS mugunga Bridge monthly to access their plot for farming at Nkomane Cell and others go to Kabukanya EAR church every sunday at Nkomane cell also . Adjacent community in total is 3700..
0,500-1000,1551m,Rwinkuba,50-150,Many,One,-Muhondo,now-Walking through river,6-9 months,>3,>6,1-2 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 10m.-The proposed bridge span is approximately 30m.-The level difference between two banks is 0.05m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is showing a sign of erosion and it is located between two hills.-The soil from the site is silt for both sides. 420 people fro Bukwera village 200 people from Bumba Villlage and 250 people from Businde village in total they are 870 community that use Ntaruka Bridge on Market day. this number of community uses Ntaruka Bridge to access Ruli Hospital. The nearest crossing point is in7 km from Ntaruka bridge wchicis a vehicular timber bridge that links Munyongwe and Muhondo sector.
0,500-1000,1403m,Munyana,50-150,Many,One,Minazi,now-Simple timber bridge,3-6 months,>3,>6,0.5-1 hours,1-2 hours,0.5-1 hours,0.5-1 hours,0.5-1 hours,bank-hilly,hard rock,Available,Not available on site,Available,Available,Sector,Sector,District,Sector,Can not be provided at the time ,Can not be provided at the time ,Government,Yes,The proposed bridge location is near the traditional crossing point at a distance of approximately 6m.-The proposed bridge span is approximately 38m.-The level difference between two banks is 0.5m.-The space for foundation is sufficient-The free board between the lowest point of the proposed bridge and the highest flood level is sufficient-There is no confluence area near the place.-The river bed at the site is stable  there is no possibility of erosion.-The river bank of the site is not showing any sign of erosion and it is located between two hills.-The soil from the site is hard rock for one side and silt for the other side.
